               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,            0.029787,             0.01194,           0.0027126,             0.66637,             0.60644,              0.6347,             0.33738,            0.043564,            0.011131,            0.010157,             0.00142,             0.00142,             0.00142
                 132,            0.029701,            0.011782,           0.0026917,             0.66854,             0.60609,             0.63494,             0.33728,            0.043616,            0.011166,            0.010199,            0.001354,            0.001354,            0.001354
                 133,            0.029299,            0.011589,           0.0026585,              0.6695,             0.60471,             0.63373,             0.33696,             0.04366,            0.011201,            0.010244,            0.001288,            0.001288,            0.001288
                 134,            0.028997,            0.011625,            0.002579,             0.66829,             0.60662,             0.63331,             0.33659,             0.04371,            0.011237,            0.010289,            0.001222,            0.001222,            0.001222
                 135,            0.028768,             0.01155,           0.0025308,             0.66901,             0.60438,             0.63268,             0.33621,            0.043759,            0.011273,            0.010342,            0.001156,            0.001156,            0.001156
                 136,            0.028514,            0.011339,           0.0025084,             0.67231,             0.60051,             0.63281,             0.33594,            0.043813,            0.011312,            0.010402,             0.00109,             0.00109,             0.00109
                 137,            0.028295,            0.011353,           0.0024761,             0.66152,             0.61035,             0.63181,             0.33562,            0.043863,             0.01135,            0.010448,            0.001024,            0.001024,            0.001024
                 138,            0.028088,            0.011274,           0.0024832,             0.66182,             0.60853,             0.63163,             0.33532,             0.04392,            0.011391,            0.010499,            0.000958,            0.000958,            0.000958
                 139,            0.027798,            0.011164,           0.0024113,             0.66761,             0.60408,             0.63092,             0.33486,            0.043977,            0.011433,            0.010549,            0.000892,            0.000892,            0.000892
                 140,             0.02752,            0.011046,           0.0023369,             0.66766,             0.60349,             0.63006,             0.33472,            0.044036,            0.011479,            0.010603,            0.000826,            0.000826,            0.000826
                 141,            0.027364,            0.010905,           0.0022588,             0.67229,             0.59945,             0.62958,              0.3343,            0.044095,            0.011525,            0.010657,             0.00076,             0.00076,             0.00076
                 142,            0.027062,              0.0109,           0.0022608,             0.67058,             0.60109,             0.62872,             0.33378,            0.044151,            0.011573,            0.010711,            0.000694,            0.000694,            0.000694
                 143,            0.026863,            0.010795,           0.0022901,             0.67022,             0.59917,             0.62794,             0.33339,            0.044206,            0.011622,            0.010771,            0.000628,            0.000628,            0.000628
                 144,            0.026848,            0.010818,           0.0021958,              0.6605,             0.60799,             0.62751,             0.33321,            0.044264,            0.011673,             0.01084,            0.000562,            0.000562,            0.000562
                 145,            0.026612,            0.010694,           0.0021493,              0.6593,             0.60804,              0.6268,             0.33255,            0.044322,            0.011726,            0.010903,            0.000496,            0.000496,            0.000496
                 146,              0.0262,            0.010576,           0.0022002,             0.65812,             0.60702,             0.62604,             0.33204,            0.044386,             0.01178,            0.010969,             0.00043,             0.00043,             0.00043
                 147,            0.026024,            0.010475,           0.0021614,             0.65889,             0.60511,             0.62454,              0.3315,            0.044454,            0.011834,             0.01104,            0.000364,            0.000364,            0.000364
                 148,            0.025693,            0.010295,           0.0021527,             0.66452,             0.60035,             0.62338,             0.33108,            0.044523,            0.011891,            0.011106,            0.000298,            0.000298,            0.000298
                 149,            0.025491,            0.010304,           0.0020301,             0.66669,             0.59805,             0.62261,             0.33083,            0.044593,            0.011948,            0.011176,            0.000232,            0.000232,            0.000232
